variable_i,variable_j,correlation,subset
negative_frequency,negative_frequency,0.9999999999999998,baseline_combined
min_eigenvalue_mean,negative_frequency,-0.5831855608020987,baseline_combined
min_eigenvalue_q10,negative_frequency,-0.8213572900162874,baseline_combined
min_eigenvalue_q05,negative_frequency,-0.85200642459098,baseline_combined
spectral_tail_mean,negative_frequency,-0.892899688459185,baseline_combined
logdet_residual_mean,negative_frequency,-0.93204886794243,baseline_combined
logdet_residual_q90,negative_frequency,-0.29727970308154666,baseline_combined
logdet_residual_q95,negative_frequency,-0.3008754779861599,baseline_combined
euler_density_proxy_mean,negative_frequency,-0.9169351434590328,baseline_combined
euler_density_proxy_weighted_mean,negative_frequency,-0.9300919133841158,baseline_combined
determinant_g_mean,negative_frequency,-0.5074944201458879,baseline_combined
logdet_g_mean,negative_frequency,-0.9169351434590328,baseline_combined
logdet_target_mean,negative_frequency,-0.18040764926906858,baseline_combined
negative_frequency,min_eigenvalue_mean,-0.5831855608020987,baseline_combined
min_eigenvalue_mean,min_eigenvalue_mean,1.0,baseline_combined
min_eigenvalue_q10,min_eigenvalue_mean,0.7821169639199346,baseline_combined
min_eigenvalue_q05,min_eigenvalue_mean,0.6513784625448861,baseline_combined
spectral_tail_mean,min_eigenvalue_mean,0.6326639989915374,baseline_combined
logdet_residual_mean,min_eigenvalue_mean,0.6621022051334161,baseline_combined
logdet_residual_q90,min_eigenvalue_mean,0.4970024662377716,baseline_combined
logdet_residual_q95,min_eigenvalue_mean,0.4352156685760321,baseline_combined
euler_density_proxy_mean,min_eigenvalue_mean,0.8455719177469806,baseline_combined
euler_density_proxy_weighted_mean,min_eigenvalue_mean,0.7809461008980081,baseline_combined
determinant_g_mean,min_eigenvalue_mean,0.9671317649706768,baseline_combined
logdet_g_mean,min_eigenvalue_mean,0.8455719177469806,baseline_combined
logdet_target_mean,min_eigenvalue_mean,0.5838084435932146,baseline_combined
negative_frequency,min_eigenvalue_q10,-0.8213572900162874,baseline_combined
min_eigenvalue_mean,min_eigenvalue_q10,0.7821169639199346,baseline_combined
min_eigenvalue_q10,min_eigenvalue_q10,0.9999999999999998,baseline_combined
min_eigenvalue_q05,min_eigenvalue_q10,0.9273739298089313,baseline_combined
spectral_tail_mean,min_eigenvalue_q10,0.9269211356825614,baseline_combined
logdet_residual_mean,min_eigenvalue_q10,0.8682616299253382,baseline_combined
logdet_residual_q90,min_eigenvalue_q10,0.3327218810371106,baseline_combined
logdet_residual_q95,min_eigenvalue_q10,0.26356497018100766,baseline_combined
euler_density_proxy_mean,min_eigenvalue_q10,0.8938749585707815,baseline_combined
euler_density_proxy_weighted_mean,min_eigenvalue_q10,0.8530518438131884,baseline_combined
determinant_g_mean,min_eigenvalue_q10,0.6945417718688952,baseline_combined
logdet_g_mean,min_eigenvalue_q10,0.8938749585707815,baseline_combined
logdet_target_mean,min_eigenvalue_q10,0.2611890832280795,baseline_combined
negative_frequency,min_eigenvalue_q05,-0.8520064245909799,baseline_combined
min_eigenvalue_mean,min_eigenvalue_q05,0.6513784625448861,baseline_combined
min_eigenvalue_q10,min_eigenvalue_q05,0.9273739298089313,baseline_combined
min_eigenvalue_q05,min_eigenvalue_q05,0.9999999999999998,baseline_combined
spectral_tail_mean,min_eigenvalue_q05,0.9826590361954598,baseline_combined
logdet_residual_mean,min_eigenvalue_q05,0.8955564715379283,baseline_combined
logdet_residual_q90,min_eigenvalue_q05,0.333501672588692,baseline_combined
logdet_residual_q95,min_eigenvalue_q05,0.25171588836419023,baseline_combined
euler_density_proxy_mean,min_eigenvalue_q05,0.8449668859874667,baseline_combined
euler_density_proxy_weighted_mean,min_eigenvalue_q05,0.8402713785243564,baseline_combined
determinant_g_mean,min_eigenvalue_q05,0.5616025314980062,baseline_combined
logdet_g_mean,min_eigenvalue_q05,0.8449668859874667,baseline_combined
logdet_target_mean,min_eigenvalue_q05,0.0887213334949063,baseline_combined
negative_frequency,spectral_tail_mean,-0.8928996884591851,baseline_combined
min_eigenvalue_mean,spectral_tail_mean,0.6326639989915372,baseline_combined
min_eigenvalue_q10,spectral_tail_mean,0.9269211356825614,baseline_combined
min_eigenvalue_q05,spectral_tail_mean,0.9826590361954598,baseline_combined
spectral_tail_mean,spectral_tail_mean,1.0,baseline_combined
logdet_residual_mean,spectral_tail_mean,0.9189698110764042,baseline_combined
logdet_residual_q90,spectral_tail_mean,0.33281862973153037,baseline_combined
logdet_residual_q95,spectral_tail_mean,0.25824230757382116,baseline_combined
euler_density_proxy_mean,spectral_tail_mean,0.8570893069829884,baseline_combined
euler_density_proxy_weighted_mean,spectral_tail_mean,0.8491517519633102,baseline_combined
determinant_g_mean,spectral_tail_mean,0.526192801138723,baseline_combined
logdet_g_mean,spectral_tail_mean,0.8570893069829884,baseline_combined
logdet_target_mean,spectral_tail_mean,0.06765292760736426,baseline_combined
negative_frequency,logdet_residual_mean,-0.9320488679424301,baseline_combined
min_eigenvalue_mean,logdet_residual_mean,0.6621022051334161,baseline_combined
min_eigenvalue_q10,logdet_residual_mean,0.8682616299253382,baseline_combined
min_eigenvalue_q05,logdet_residual_mean,0.8955564715379283,baseline_combined
spectral_tail_mean,logdet_residual_mean,0.9189698110764042,baseline_combined
logdet_residual_mean,logdet_residual_mean,0.9999999999999998,baseline_combined
logdet_residual_q90,logdet_residual_mean,0.5488225828808435,baseline_combined
logdet_residual_q95,logdet_residual_mean,0.5054630734470152,baseline_combined
euler_density_proxy_mean,logdet_residual_mean,0.9046276003460344,baseline_combined
euler_density_proxy_weighted_mean,logdet_residual_mean,0.9201142293564298,baseline_combined
determinant_g_mean,logdet_residual_mean,0.5669354902250561,baseline_combined
logdet_g_mean,logdet_residual_mean,0.9046276003460344,baseline_combined
logdet_target_mean,logdet_residual_mean,0.007840299267493547,baseline_combined
negative_frequency,logdet_residual_q90,-0.29727970308154666,baseline_combined
min_eigenvalue_mean,logdet_residual_q90,0.4970024662377716,baseline_combined
min_eigenvalue_q10,logdet_residual_q90,0.33272188103711053,baseline_combined
min_eigenvalue_q05,logdet_residual_q90,0.33350167258869196,baseline_combined
spectral_tail_mean,logdet_residual_q90,0.3328186297315304,baseline_combined
logdet_residual_mean,logdet_residual_q90,0.5488225828808435,baseline_combined
logdet_residual_q90,logdet_residual_q90,1.0,baseline_combined
logdet_residual_q95,logdet_residual_q90,0.9423063376853249,baseline_combined
euler_density_proxy_mean,logdet_residual_q90,0.40626153952393057,baseline_combined
euler_density_proxy_weighted_mean,logdet_residual_q90,0.4239713692233387,baseline_combined
determinant_g_mean,logdet_residual_q90,0.46263725407173834,baseline_combined
logdet_g_mean,logdet_residual_q90,0.40626153952393057,baseline_combined
logdet_target_mean,logdet_residual_q90,-0.2073703826606878,baseline_combined
negative_frequency,logdet_residual_q95,-0.3008754779861599,baseline_combined
min_eigenvalue_mean,logdet_residual_q95,0.4352156685760321,baseline_combined
min_eigenvalue_q10,logdet_residual_q95,0.26356497018100766,baseline_combined
min_eigenvalue_q05,logdet_residual_q95,0.25171588836419023,baseline_combined
spectral_tail_mean,logdet_residual_q95,0.25824230757382116,baseline_combined
logdet_residual_mean,logdet_residual_q95,0.5054630734470152,baseline_combined
logdet_residual_q90,logdet_residual_q95,0.9423063376853249,baseline_combined
logdet_residual_q95,logdet_residual_q95,1.0,baseline_combined
