run_group,case_id,model_name,seed,objective_variant,run_dir,metrics_path,pointwise_path,summary_path,status,row_count,schema_ok,negative_fraction_metrics,negative_fraction_pointwise,negative_fraction_abs_diff,failure_reason
ablation,cefalu_lambda_1_0,global,7,baseline,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\baseline,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\baseline\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\baseline\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\baseline\summary.md,success,200,True,0.014999999664723873,0.015,3.3527612630646075e-10,
ablation,cefalu_lambda_1_0,global,7,baseline_plus_both,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\baseline_plus_both,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\baseline_plus_both\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\baseline_plus_both\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\baseline_plus_both\summary.md,success,200,True,0.014999999664723873,0.015,3.3527612630646075e-10,
ablation,cefalu_lambda_1_0,global,7,baseline_plus_negativity,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\baseline_plus_negativity,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\baseline_plus_negativity\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\baseline_plus_negativity\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\baseline_plus_negativity\summary.md,success,200,True,0.014999999664723873,0.015,3.3527612630646075e-10,
ablation,cefalu_lambda_1_0,global,7,baseline_plus_projective,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\baseline_plus_projective,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\baseline_plus_projective\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\baseline_plus_projective\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\baseline_plus_projective\summary.md,success,200,True,0.014999999664723873,0.015,3.3527612630646075e-10,
ablation,cefalu_lambda_1_0,global,11,baseline,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\baseline,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\baseline\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\baseline\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\baseline\summary.md,success,200,True,0.08999999612569809,0.09,3.8743019070697216e-09,
ablation,cefalu_lambda_1_0,global,11,baseline_plus_both,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\baseline_plus_both,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\baseline_plus_both\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\baseline_plus_both\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\baseline_plus_both\summary.md,success,200,True,0.08999999612569809,0.09,3.8743019070697216e-09,
ablation,cefalu_lambda_1_0,global,11,baseline_plus_negativity,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\baseline_plus_negativity,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\baseline_plus_negativity\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\baseline_plus_negativity\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\baseline_plus_negativity\summary.md,success,200,True,0.08999999612569809,0.09,3.8743019070697216e-09,
ablation,cefalu_lambda_1_0,global,11,baseline_plus_projective,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\baseline_plus_projective,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\baseline_plus_projective\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\baseline_plus_projective\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\baseline_plus_projective\summary.md,success,200,True,0.08999999612569809,0.09,3.8743019070697216e-09,
ablation,cefalu_lambda_1_0,global,19,baseline,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\baseline,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\baseline\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\baseline\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\baseline\summary.md,success,200,True,0.03500000014901161,0.035,1.490116086078075e-10,
ablation,cefalu_lambda_1_0,global,19,baseline_plus_both,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\baseline_plus_both,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\baseline_plus_both\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\baseline_plus_both\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\baseline_plus_both\summary.md,success,200,True,0.03500000014901161,0.035,1.490116086078075e-10,
ablation,cefalu_lambda_1_0,global,19,baseline_plus_negativity,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\baseline_plus_negativity,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\baseline_plus_negativity\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\baseline_plus_negativity\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\baseline_plus_negativity\summary.md,success,200,True,0.03500000014901161,0.035,1.490116086078075e-10,
ablation,cefalu_lambda_1_0,global,19,baseline_plus_projective,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\baseline_plus_projective,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\baseline_plus_projective\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\baseline_plus_projective\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\baseline_plus_projective\summary.md,success,200,True,0.03500000014901161,0.035,1.490116086078075e-10,
sweep,cefalu_lambda_0_50,global,7,,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_7\global,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_7\global\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_7\global\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_7\global\summary.md,success,200,True,0.0,0.0,0.0,
sweep,cefalu_lambda_0_50,local,7,,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_7\local,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_7\local\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_7\local\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_7\local\summary.md,success,200,True,0.0,0.0,0.0,
sweep,cefalu_lambda_0_50,global,11,,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_11\global,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_11\global\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_11\global\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_11\global\summary.md,success,200,True,0.11999999731779099,0.12,2.682209010451686e-09,
sweep,cefalu_lambda_0_50,local,11,,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_11\local,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_11\local\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_11\local\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_11\local\summary.md,success,200,True,0.004999999888241291,0.005,1.1175870905794083e-10,
sweep,cefalu_lambda_0_50,global,19,,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_19\global,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_19\global\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_19\global\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_19\global\summary.md,success,200,True,0.019999999552965164,0.02,4.470348362317633e-10,
sweep,cefalu_lambda_0_50,local,19,,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_19\local,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_19\local\metrics.json,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_19\local\pointwise_diagnostics.parquet,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_19\local\summary.md,success,200,True,0.03999999910593033,0.04,8.940696724635266e-10,
