case_id,lambda_value,model_name,fragile_label,logdet_residual_mean,logdet_residual_q90,euler_density_proxy_weighted_mean,determinant_g_weighted_mean,logdet_g_weighted_mean,logdet_target_weighted_mean
cefalu_lambda_0_50,0.5,global,regular,-1.1568362712860107,0.5617609977722169,-4.768679038192733,0.022425105832800184,-4.768679038192733,-3.679002747887248
cefalu_lambda_0_50,0.5,global,fragile,0.09160800278186798,0.6788802146911621,-4.559069690805112,0.011664892557785862,-4.559069690805112,-4.777133483339665
cefalu_lambda_0_50,0.5,local,regular,-0.30684900283813477,0.8312111854553226,-4.014716330461078,0.032237624380826585,-4.014716330461078,-3.679002747887248
cefalu_lambda_0_50,0.5,local,fragile,-1.2469731569290161,0.9113032817840576,-5.697263505212302,0.010310450503557979,-5.697263505212302,-4.777133483339665
cefalu_lambda_0_75,0.75,global,regular,-1.1019045114517212,0.5524489879608154,-4.628531814522903,0.025713060796792427,-4.628531814522903,-3.5455390557455098
cefalu_lambda_0_75,0.75,global,fragile,-1.6343867778778076,0.26722311973571794,-5.2947725284570755,0.014559152991331795,-5.2947725284570755,-4.083823473815184
cefalu_lambda_0_75,0.75,local,regular,-0.365852415561676,0.8527674674987793,-3.937978151067403,0.03683649390193788,-3.937978151067403,-3.5455390557455098
cefalu_lambda_0_75,0.75,local,fragile,-1.2567538022994995,1.3629531383514406,-5.337781005626457,0.03044269349978312,-5.337781005626457,-4.083823473815184
cefalu_lambda_0_90,0.9,global,regular,-1.076040267944336,0.5482382774353027,-4.472337122265217,0.029436244915546843,-4.472337122265217,-3.4500824531962935
cefalu_lambda_0_90,0.9,global,fragile,-1.5147590637207031,0.5255241394042971,-5.231457838357462,0.022584335585300853,-5.231457838357462,-3.666491610962459
cefalu_lambda_0_90,0.9,local,regular,-0.1906292587518692,0.7798902988433838,-3.706575472465884,0.040632859780585166,-3.706575472465884,-3.4500824531962935
cefalu_lambda_0_90,0.9,local,fragile,-0.5366057753562927,0.8420416355133057,-4.2521027615001294,0.03027917280279071,-4.2521027615001294,-3.666491610962459
cefalu_lambda_1_0,1.0,global,regular,-1.112284779548645,0.5190272331237793,-4.447340796163848,0.0313913432362486,-4.447340796163848,-3.3797035418703714
cefalu_lambda_1_0,1.0,global,fragile,-1.624563455581665,0.3881023883819582,-5.356628143964471,0.02303687300513717,-5.356628143964471,-3.484824402397528
cefalu_lambda_1_0,1.0,local,regular,-0.13103127479553223,0.7223167419433594,-3.587588304034479,0.04341007291293084,-3.587588304034479,-3.3797035418703714
cefalu_lambda_1_0,1.0,local,fragile,-0.3149639368057251,0.662541174888611,-3.733938744727385,0.03591219045450816,-3.733938744727385,-3.484824402397528
cefalu_lambda_1_10,1.1,global,regular,-0.9845951199531555,0.5290196895599365,-4.197238828676326,0.03499116739416538,-4.197238828676326,-3.2989297876372228
cefalu_lambda_1_10,1.1,global,fragile,-1.7508556842803955,0.20410466194152851,-5.416143015738682,0.025590847871985338,-5.416143015738682,-3.289523127020671
cefalu_lambda_1_10,1.1,local,regular,-0.11797236651182175,0.6889558792114258,-3.4883733704429005,0.047091182287837166,-3.4883733704429005,-3.2989297876372228
cefalu_lambda_1_10,1.1,local,fragile,-0.23067940771579742,0.6143549919128418,-3.5007613252508176,0.04375666772768735,-3.5007613252508176,-3.289523127020671
