run_group,case_id,model_name,seed,objective_variant,mean_logdet_residual_proxy,q90_logdet_residual_proxy,negative_eigenvalue_frequency_recomputed_from_pointwise,mean_min_eigenvalue,pointwise_path
ablation,cefalu_lambda_1_0,global,7,baseline,-0.5399099588394165,0.507162570953369,0.015,0.16243717074394226,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\baseline\pointwise_diagnostics.parquet
ablation,cefalu_lambda_1_0,global,7,baseline_plus_both,-0.45777732133865356,0.5371421575546264,0.015,0.16907420754432678,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\baseline_plus_both\pointwise_diagnostics.parquet
ablation,cefalu_lambda_1_0,global,7,baseline_plus_negativity,-0.45777738094329834,0.5371423959732055,0.015,0.16907420754432678,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\baseline_plus_negativity\pointwise_diagnostics.parquet
ablation,cefalu_lambda_1_0,global,7,baseline_plus_projective,-0.539910078048706,0.5071625471115111,0.015,0.16243717074394226,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_7\baseline_plus_projective\pointwise_diagnostics.parquet
ablation,cefalu_lambda_1_0,global,11,baseline,-2.2519524097442627,0.052359557151794425,0.09,0.11194812506437302,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\baseline\pointwise_diagnostics.parquet
ablation,cefalu_lambda_1_0,global,11,baseline_plus_both,-2.251521587371826,0.053116178512573234,0.09,0.11193249374628067,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\baseline_plus_both\pointwise_diagnostics.parquet
ablation,cefalu_lambda_1_0,global,11,baseline_plus_negativity,-2.2515218257904053,0.05311636924743652,0.09,0.11193249374628067,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\baseline_plus_negativity\pointwise_diagnostics.parquet
ablation,cefalu_lambda_1_0,global,11,baseline_plus_projective,-2.2519519329071045,0.05235972404479979,0.09,0.11194812506437302,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_11\baseline_plus_projective\pointwise_diagnostics.parquet
ablation,cefalu_lambda_1_0,global,19,baseline,-0.8496281504631042,0.7148273706436157,0.035,0.15399444103240967,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\baseline\pointwise_diagnostics.parquet
ablation,cefalu_lambda_1_0,global,19,baseline_plus_both,-0.845792829990387,0.7165737867355346,0.035,0.1543218493461609,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\baseline_plus_both\pointwise_diagnostics.parquet
